OPPORTUNITY_ID,OPPORTUNITY_NAME,STAGE_NAME,STAGE_START_DATE,STAGE_END_DATE,DAYS_IN_STAGE,TOTAL_AMOUNT
0061T0000157B9FQAU,"Energy Management - BIOMED REALTY TRUST - Cambridge, MA",5 Negotiation/Review,2023-03-08 13:07:22 UTC,2023-04-17 18:31:11 UTC,40,766279.746
0061T0000157B9FQAU,"Energy Management - BIOMED REALTY TRUST - Cambridge, MA",6 Won,2023-04-17 18:31:11 UTC,2023-04-17 00:00:00 UTC,0,766279.746
0061T0000157FJjQAM,SLG - 1350 6th - FCx 1 PM 5110 meter with 200A CTs Dolby,4 Proposal Submitted,2023-01-09 18:27:41 UTC,2023-01-09 20:26:19 UTC,0,2700
0061T0000157FJjQAM,SLG - 1350 6th - FCx 1 PM 5110 meter with 200A CTs Dolby,5 Negotiation/Review,2023-01-09 20:26:19 UTC,2023-01-11 22:32:34 UTC,2,2700
0061T0000157FJjQAM,SLG - 1350 6th - FCx 1 PM 5110 meter with 200A CTs Dolby,6 Won,2023-01-11 22:32:34 UTC,2023-01-11 00:00:00 UTC,0,2700
0061T0000157FLGQA2,"GRT Refunds Processing- The New School- New York, NY",3 Discovery,2023-01-09 18:57:39 UTC,2023-03-01 13:57:17 UTC,51,30000
0061T0000157FLGQA2,"GRT Refunds Processing- The New School- New York, NY",8 Abandoned,2023-03-01 13:57:17 UTC,2023-03-01 00:00:00 UTC,0,30000
0061T0000157NfkQAE,FCX Meters+DGP - Tishman Speyer - 200 Park Avenue,4 Proposal Submitted,2023-01-09 20:32:33 UTC,2023-03-24 17:40:00 UTC,74,101471.5
0061T0000157NfkQAE,FCX Meters+DGP - Tishman Speyer - 200 Park Avenue,7 Lost,2023-03-24 17:40:00 UTC,2023-06-30 00:00:00 UTC,98,101471.5
0061T0000157eEIQAY,Caterpillar Mapleton Design-Build,3 Discovery,2023-01-10 02:20:32 UTC,2024-04-01 12:52:43 UTC,447,300000
0061T0000157eEIQAY,Caterpillar Mapleton Design-Build,8 Abandoned,2024-04-01 12:52:43 UTC,2024-04-01 00:00:00 UTC,0,300000
0061T0000158k23QAA,Enterprise Energy Management  - Divco West - Cambridge - MA,2 Qualified,2023-01-10 20:15:59 UTC,2023-03-27 01:29:40 UTC,76,150000
0061T0000158k23QAA,Enterprise Energy Management  - Divco West - Cambridge - MA,8 Abandoned,2023-03-27 01:29:40 UTC,2023-10-10 00:00:00 UTC,197,150000
0061T0000158muoQAA,"Enterprise Energy Management - Core Investments  - Boston, MA",1 Prospecting,2023-01-10 20:43:37 UTC,2023-03-27 01:24:27 UTC,76,100000
0061T0000158muoQAA,"Enterprise Energy Management - Core Investments  - Boston, MA",8 Abandoned,2023-03-27 01:24:27 UTC,2024-06-01 00:00:00 UTC,432,100000
0061T0000158mvNQAQ,FCx - Forest Electric - 787 7th Ave,4 Proposal Submitted,2023-01-10 20:58:12 UTC,2023-01-19 13:23:06 UTC,9,1900
0061T0000158mvNQAQ,FCx - Forest Electric - 787 7th Ave,5 Negotiation/Review,2023-01-19 13:23:06 UTC,2023-03-26 15:13:42 UTC,66,1900
0061T0000158mvNQAQ,FCx - Forest Electric - 787 7th Ave,6 Won,2023-03-26 15:13:42 UTC,2023-03-26 00:00:00 UTC,0,1900
0061T0000158v5ZQAQ,"Electrical Study, Amazon Fresh, 5 sites CA & WA",3 Discovery,2023-01-10 22:30:37 UTC,2023-09-21 12:57:43 UTC,254,150000
0061T0000158v5ZQAQ,"Electrical Study, Amazon Fresh, 5 sites CA & WA",1 Prospecting,2023-09-21 12:57:43 UTC,2024-04-11 16:26:13 UTC,203,0
0061T0000158v5ZQAQ,"Electrical Study, Amazon Fresh, 5 sites CA & WA",0 Target,2024-04-11 16:26:13 UTC,2024-07-24 17:45:20 UTC,104,0
0061T0000158v5ZQAQ,"Electrical Study, Amazon Fresh, 5 sites CA & WA",8 Abandoned,2024-07-24 17:45:20 UTC,2024-10-31 00:00:00 UTC,99,0
0061T0000159vFgQAI,"2023 East Svc. #4 Maint. & Testing - JLL - 111 8th Ave., NYC",3 Discovery,2023-01-11 14:35:33 UTC,2023-06-26 16:07:50 UTC,166,6500
0061T0000159vFgQAI,"2023 East Svc. #4 Maint. & Testing - JLL - 111 8th Ave., NYC",5 Negotiation/Review,2023-06-26 16:07:50 UTC,2023-06-29 19:47:35 UTC,3,6500
0061T0000159vFgQAI,"2023 East Svc. #4 Maint. & Testing - JLL - 111 8th Ave., NYC",6 Won,2023-06-29 19:47:35 UTC,2023-06-29 00:00:00 UTC,0,6500
0061T000015A49oQAC,"Commodity Consulting, JLL, Boston MA",4 Proposal Submitted,2023-01-11 17:30:06 UTC,2023-07-25 15:07:15 UTC,195,13500
0061T000015A49oQAC,"Commodity Consulting, JLL, Boston MA",5 Negotiation/Review,2023-07-25 15:07:15 UTC,2023-08-09 14:03:39 UTC,15,13500
0061T000015A49oQAC,"Commodity Consulting, JLL, Boston MA",6 Won,2023-08-09 14:03:39 UTC,2023-08-09 00:00:00 UTC,0,13500
0061T000015ABYzQAO,"QAQC, NETA & Cx Services - Equinix TR6-2 - Toronto, CANADA",2 Qualified,2023-01-11 18:41:24 UTC,2023-06-29 18:25:19 UTC,169,750000
0061T000015ABYzQAO,"QAQC, NETA & Cx Services - Equinix TR6-2 - Toronto, CANADA",8 Abandoned,2023-06-29 18:25:19 UTC,2023-08-15 00:00:00 UTC,47,750000
0061T000015ACd8QAG,"QAQC, NETA & Cx Services - Equinix MT1-2 - Montreal, CANADA",2 Qualified,2023-01-11 18:46:13 UTC,2025-03-18 17:44:08 UTC,797,500000
0061T000015ACd8QAG,"QAQC, NETA & Cx Services - Equinix MT1-2 - Montreal, CANADA",8 Abandoned,2025-03-18 17:44:08 UTC,2025-12-16 00:00:00 UTC,273,500000
0061T000015ACg2QAG,SWG Project Managemnt BP 399 Park,3 Discovery,2023-01-11 19:26:03 UTC,2023-01-12 16:45:07 UTC,1,4740
0061T000015ACg2QAG,SWG Project Managemnt BP 399 Park,4 Proposal Submitted,2023-01-12 16:45:07 UTC,2023-01-13 16:12:10 UTC,1,4740
0061T000015ACg2QAG,SWG Project Managemnt BP 399 Park,5 Negotiation/Review,2023-01-13 16:12:10 UTC,2023-03-20 14:37:46 UTC,66,4740
0061T000015ACg2QAG,SWG Project Managemnt BP 399 Park,6 Won,2023-03-20 14:37:46 UTC,2023-03-20 00:00:00 UTC,0,4740
0061T000015AGwOQAW,FxCx Single Channel Meter and cts 300 North Beacon Nappa,4 Proposal Submitted,2023-01-11 20:18:40 UTC,2023-01-24 14:47:41 UTC,13,4350
0061T000015AGwOQAW,FxCx Single Channel Meter and cts 300 North Beacon Nappa,5 Negotiation/Review,2023-01-24 14:47:41 UTC,2023-01-25 20:54:01 UTC,1,4350
0061T000015AGwOQAW,FxCx Single Channel Meter and cts 300 North Beacon Nappa,6 Won,2023-01-25 20:54:01 UTC,2023-01-25 00:00:00 UTC,0,4350
0061T000015ALCJQA4,FxCx Water Meter with Rio Tronics @ Block 5B 6th Floor,4 Proposal Submitted,2023-01-11 21:17:42 UTC,2023-01-12 22:02:48 UTC,1,1925
0061T000015ALCJQA4,FxCx Water Meter with Rio Tronics @ Block 5B 6th Floor,5 Negotiation/Review,2023-01-12 22:02:48 UTC,2023-01-19 21:21:27 UTC,7,1925
0061T000015ALCJQA4,FxCx Water Meter with Rio Tronics @ Block 5B 6th Floor,6 Won,2023-01-19 21:21:27 UTC,2023-01-19 00:00:00 UTC,0,1925
0061T000015APTnQAO,MDM - Dekalb Market Hall - Brooklyn NYC,3 Discovery,2023-01-11 22:13:01 UTC,2023-01-11 23:28:26 UTC,0,51840
0061T000015APTnQAO,MDM - Dekalb Market Hall - Brooklyn NYC,4 Proposal Submitted,2023-01-11 23:28:26 UTC,2023-03-27 18:07:16 UTC,75,51840
0061T000015APTnQAO,MDM - Dekalb Market Hall - Brooklyn NYC,5 Negotiation/Review,2023-03-27 18:07:16 UTC,2023-04-04 13:51:07 UTC,8,43200
0061T000015APTnQAO,MDM - Dekalb Market Hall - Brooklyn NYC,6 Won,2023-04-04 13:51:07 UTC,2023-04-04 00:00:00 UTC,0,43200
0061T000015AoYFQA0,FxCx Single Channel Meter and CTs 5 Necco (ARE),4 Proposal Submitted,2023-01-12 04:34:06 UTC,2023-08-30 12:12:00 UTC,230,7825
0061T000015AoYFQA0,FxCx Single Channel Meter and CTs 5 Necco (ARE),8 Abandoned,2023-08-30 12:12:00 UTC,2023-08-30 00:00:00 UTC,0,7825
0061T000015B182QAC,"DKL1 Additional Cx Time Oct-Dec 2022 - Meta - DeKalb, IL",3 Discovery,2023-01-12 08:10:06 UTC,2023-01-23 21:17:22 UTC,11,132890
0061T000015B182QAC,"DKL1 Additional Cx Time Oct-Dec 2022 - Meta - DeKalb, IL",4 Proposal Submitted,2023-01-23 21:17:22 UTC,2023-06-13 16:54:14 UTC,141,85050
0061T000015B182QAC,"DKL1 Additional Cx Time Oct-Dec 2022 - Meta - DeKalb, IL",5 Negotiation/Review,2023-06-13 16:54:14 UTC,2023-06-14 11:29:12 UTC,1,85050
0061T000015B182QAC,"DKL1 Additional Cx Time Oct-Dec 2022 - Meta - DeKalb, IL",6 Won,2023-06-14 11:29:12 UTC,2023-06-14 00:00:00 UTC,0,85050
0061T000015BUc2QAG,"DKL2 Additional Expense Budget - Meta - DeKalb, IL",3 Discovery,2023-01-12 15:21:29 UTC,2023-03-18 01:32:15 UTC,65,150000
0061T000015BUc2QAG,"DKL2 Additional Expense Budget - Meta - DeKalb, IL",4 Proposal Submitted,2023-03-18 01:32:15 UTC,2023-04-13 13:04:12 UTC,26,50000
0061T000015BUc2QAG,"DKL2 Additional Expense Budget - Meta - DeKalb, IL",5 Negotiation/Review,2023-04-13 13:04:12 UTC,2023-04-14 15:04:21 UTC,1,50000
0061T000015BUc2QAG,"DKL2 Additional Expense Budget - Meta - DeKalb, IL",6 Won,2023-04-14 15:04:21 UTC,2023-04-14 00:00:00 UTC,0,50000
0061T000015BlfnQAC,"F&C (13) Mulit-channel Tenant MTR _Allran_Penn 2 NY, NY",4 Proposal Submitted,2023-01-12 20:15:37 UTC,2024-10-29 14:40:17 UTC,656,265288
0061T000015BlfnQAC,"F&C (13) Mulit-channel Tenant MTR _Allran_Penn 2 NY, NY",5 Negotiation/Review,2024-10-29 14:40:17 UTC,2024-11-21 20:56:27 UTC,23,162000
0061T000015BlfnQAC,"F&C (13) Mulit-channel Tenant MTR _Allran_Penn 2 NY, NY",6 Won,2024-11-21 20:56:27 UTC,2024-11-21 00:00:00 UTC,0,162000
0061T000015Bq56QAC,NewCatalina Island New Medical,0 Target,2023-01-12 21:34:01 UTC,2023-08-03 22:14:42 UTC,203,1
0061T000015Bq56QAC,NewCatalina Island New Medical,1 Prospecting,2023-08-03 22:14:42 UTC,2023-08-03 22:16:22 UTC,0,1
0061T000015Bq56QAC,NewCatalina Island New Medical,2 Qualified,2023-08-03 22:16:22 UTC,2023-08-07 22:12:22 UTC,4,1
0061T000015Bq56QAC,NewCatalina Island New Medical,8 Abandoned,2023-08-07 22:12:22 UTC,2025-01-31 00:00:00 UTC,543,1
0061T000015ByXUQA0,Meter Commissioning - JT Magen - 151 West 42nd St,4 Proposal Submitted,2023-01-13 00:12:35 UTC,2023-01-30 15:37:09 UTC,17,9700
0061T000015ByXUQA0,Meter Commissioning - JT Magen - 151 West 42nd St,5 Negotiation/Review,2023-01-30 15:37:09 UTC,2023-03-20 19:38:04 UTC,49,9700
0061T000015ByXUQA0,Meter Commissioning - JT Magen - 151 West 42nd St,6 Won,2023-03-20 19:38:04 UTC,2023-03-20 00:00:00 UTC,0,9700
0061T000015C2jGQAS,Saddleback College Expansion,1 Prospecting,2023-01-13 01:26:24 UTC,2023-05-25 19:02:07 UTC,132,1
0061T000015C2jGQAS,Saddleback College Expansion,8 Abandoned,2023-05-25 19:02:07 UTC,2023-09-29 00:00:00 UTC,127,1
0061T000015D3tqQAC,American Crystal Sugar - East Grand Forks,2 Qualified,2023-01-13 17:45:41 UTC,2023-03-02 16:24:18 UTC,48,10000000
0061T000015D3tqQAC,American Crystal Sugar - East Grand Forks,3 Discovery,2023-03-02 16:24:18 UTC,2023-08-31 17:17:11 UTC,182,10000000
0061T000015D3tqQAC,American Crystal Sugar - East Grand Forks,1 Prospecting,2023-08-31 17:17:11 UTC,2024-06-07 17:19:14 UTC,281,3000000
0061T000015D3tqQAC,American Crystal Sugar - East Grand Forks,8 Abandoned,2024-06-07 17:19:14 UTC,2024-12-10 00:00:00 UTC,186,3000000
0061T000015D3uPQAS,"AMERICAN CRYSTAL SUGAR - Moorhead, Minnesota",2 Qualified,2023-01-13 17:48:36 UTC,2023-03-02 16:25:29 UTC,48,10000000
0061T000015D3uPQAS,"AMERICAN CRYSTAL SUGAR - Moorhead, Minnesota",3 Discovery,2023-03-02 16:25:29 UTC,2023-08-31 15:06:19 UTC,182,60000000
0061T000015D3uPQAS,"AMERICAN CRYSTAL SUGAR - Moorhead, Minnesota",1 Prospecting,2023-08-31 15:06:19 UTC,2024-06-07 17:17:54 UTC,281,60000000
0061T000015D3uPQAS,"AMERICAN CRYSTAL SUGAR - Moorhead, Minnesota",0 Target,2024-06-07 17:17:54 UTC,2025-04-01 01:56:19 UTC,298,60000000
0061T000015D3uPQAS,"AMERICAN CRYSTAL SUGAR - Moorhead, Minnesota",8 Abandoned,2025-04-01 01:56:19 UTC,2025-09-24 00:00:00 UTC,176,60000000
0061T000015D44gQAC,"Hillsboro, North Dakota",2 Qualified,2023-01-13 17:56:28 UTC,2023-08-31 15:24:08 UTC,230,10000000
0061T000015D44gQAC,"Hillsboro, North Dakota",1 Prospecting,2023-08-31 15:24:08 UTC,2024-06-07 17:20:18 UTC,281,3000000
0061T000015D44gQAC,"Hillsboro, North Dakota",0 Target,2024-06-07 17:20:18 UTC,2024-06-07 17:25:40 UTC,0,3000000
0061T000015D44gQAC,"Hillsboro, North Dakota",8 Abandoned,2024-06-07 17:25:40 UTC,2024-11-06 00:00:00 UTC,152,3000000
0061T000015DALxQAO,Optimization-Danone-North America,4 Proposal Submitted,2023-01-13 18:59:58 UTC,2023-09-22 00:27:55 UTC,252,2240000
0061T000015DALxQAO,Optimization-Danone-North America,3 Discovery,2023-09-22 00:27:55 UTC,2024-04-25 15:50:19 UTC,216,2240000
0061T000015DALxQAO,Optimization-Danone-North America,8 Abandoned,2024-04-25 15:50:19 UTC,2024-04-25 00:00:00 UTC,0,2240000
0061T000015DCQRQA4,Crookston - Amercian Crystal sugar,2 Qualified,2023-01-13 19:18:42 UTC,2023-08-31 16:57:13 UTC,230,10000000
0061T000015DCQRQA4,Crookston - Amercian Crystal sugar,1 Prospecting,2023-08-31 16:57:13 UTC,2024-01-31 16:30:10 UTC,153,10000000
0061T000015DCQRQA4,Crookston - Amercian Crystal sugar,8 Abandoned,2024-01-31 16:30:10 UTC,2024-01-31 00:00:00 UTC,0,10000000
0061T000015DCQvQAO,"Drayton, American Crystal Sugar",2 Qualified,2023-01-13 19:22:58 UTC,2023-08-31 16:58:47 UTC,230,10000000
0061T000015DCQvQAO,"Drayton, American Crystal Sugar",1 Prospecting,2023-08-31 16:58:47 UTC,2024-04-18 01:25:05 UTC,231,10000000
0061T000015DCQvQAO,"Drayton, American Crystal Sugar",0 Target,2024-04-18 01:25:05 UTC,2024-06-07 17:24:27 UTC,50,10000000
0061T000015DCQvQAO,"Drayton, American Crystal Sugar",8 Abandoned,2024-06-07 17:24:27 UTC,2024-12-29 00:00:00 UTC,205,10000000
0061T000015DCRUQA4,Bel Brands US -  Multi Site,1 Prospecting,2023-01-13 19:30:47 UTC,2023-03-02 16:30:17 UTC,48,1000000
0061T000015DCRUQA4,Bel Brands US -  Multi Site,2 Qualified,2023-03-02 16:30:17 UTC,2024-01-29 23:26:04 UTC,333,1000000
0061T000015DCRUQA4,Bel Brands US -  Multi Site,8 Abandoned,2024-01-29 23:26:04 UTC,2024-01-29 00:00:00 UTC,0,1000000
0061T000015DCScQAO,FCx 2 Water Pulse Meter - Interstate Electrical 117 Kendrick Needham,3 Discovery,2023-01-13 19:47:03 UTC,2023-01-13 20:12:41 UTC,0,8210
0061T000015DCScQAO,FCx 2 Water Pulse Meter - Interstate Electrical 117 Kendrick Needham,4 Proposal Submitted,2023-01-13 20:12:41 UTC,2023-03-14 13:48:52 UTC,60,2780
0061T000015DCScQAO,FCx 2 Water Pulse Meter - Interstate Electrical 117 Kendrick Needham,5 Negotiation/Review,2023-03-14 13:48:52 UTC,2023-03-15 16:53:44 UTC,1,2780
0061T000015DCScQAO,FCx 2 Water Pulse Meter - Interstate Electrical 117 Kendrick Needham,6 Won,2023-03-15 16:53:44 UTC,2023-03-15 00:00:00 UTC,0,2780
0061T000015DL7IQAW,FxCx Tenant Submeters Abbot Regency Centers Brattle St,4 Proposal Submitted,2023-01-13 21:26:30 UTC,2023-01-24 01:11:33 UTC,11,25075
0061T000015DL7IQAW,FxCx Tenant Submeters Abbot Regency Centers Brattle St,5 Negotiation/Review,2023-01-24 01:11:33 UTC,2023-01-25 20:56:41 UTC,1,25075
0061T000015DL7IQAW,FxCx Tenant Submeters Abbot Regency Centers Brattle St,6 Won,2023-01-25 20:56:41 UTC,2023-01-25 00:00:00 UTC,0,25075
0061T000015DpSvQAK,Battery Testing of Critical Systems,3 Discovery,2023-01-14 05:33:18 UTC,2023-02-01 21:42:50 UTC,18,52060
0061T000015DpSvQAK,Battery Testing of Critical Systems,4 Proposal Submitted,2023-02-01 21:42:50 UTC,2023-02-24 14:17:31 UTC,23,52060
0061T000015DpSvQAK,Battery Testing of Critical Systems,8 Abandoned,2023-02-24 14:17:31 UTC,2023-02-24 00:00:00 UTC,0,52060
0061T000015J8LUQA0,Saddleback College 2023 RFP,2 Qualified,2023-01-17 18:06:06 UTC,2024-01-17 21:25:37 UTC,365,8000000
0061T000015J8LUQA0,Saddleback College 2023 RFP,3 Discovery,2024-01-17 21:25:37 UTC,2024-01-17 21:26:03 UTC,0,985000
0061T000015J8LUQA0,Saddleback College 2023 RFP,4 Proposal Submitted,2024-01-17 21:26:03 UTC,2024-01-17 21:30:37 UTC,0,985000
0061T000015J8LUQA0,Saddleback College 2023 RFP,5 Negotiation/Review,2024-01-17 21:30:37 UTC,2024-01-17 21:34:55 UTC,0,985000
0061T000015J8LUQA0,Saddleback College 2023 RFP,6 Won,2024-01-17 21:34:55 UTC,2024-01-17 00:00:00 UTC,0,985000
0061T000015JCgeQAG,"Meter Install & Cx - Related - 15 Hudson Yards, NY",2 Qualified,2023-01-17 19:04:35 UTC,2023-01-17 19:25:05 UTC,0,5232
0061T000015JCgeQAG,"Meter Install & Cx - Related - 15 Hudson Yards, NY",3 Discovery,2023-01-17 19:25:05 UTC,2023-01-20 22:33:02 UTC,3,20211
0061T000015JCgeQAG,"Meter Install & Cx - Related - 15 Hudson Yards, NY",4 Proposal Submitted,2023-01-20 22:33:02 UTC,2023-03-03 22:19:10 UTC,42,35330
0061T000015JCgeQAG,"Meter Install & Cx - Related - 15 Hudson Yards, NY",5 Negotiation/Review,2023-03-03 22:19:10 UTC,2023-03-06 14:02:49 UTC,3,20211
0061T000015JCgeQAG,"Meter Install & Cx - Related - 15 Hudson Yards, NY",6 Won,2023-03-06 14:02:49 UTC,2023-03-06 00:00:00 UTC,0,20211
0061T000015JH38QAG,"FCx 6 Metering CTs - Erne Valley Electric - New York, NY",4 Proposal Submitted,2023-01-17 20:49:41 UTC,2023-01-18 15:28:47 UTC,1,5700
0061T000015JH38QAG,"FCx 6 Metering CTs - Erne Valley Electric - New York, NY",5 Negotiation/Review,2023-01-18 15:28:47 UTC,2023-01-20 15:52:59 UTC,2,5700
0061T000015JH38QAG,"FCx 6 Metering CTs - Erne Valley Electric - New York, NY",6 Won,2023-01-20 15:52:59 UTC,2023-01-20 00:00:00 UTC,0,5700
0061T000015JQ1BQAW,FxCx 6th Fl BTU Meters B&L Block 5B Somerville,4 Proposal Submitted,2023-01-17 23:00:41 UTC,2023-01-20 01:09:23 UTC,3,7228.5
0061T000015JQ1BQAW,FxCx 6th Fl BTU Meters B&L Block 5B Somerville,5 Negotiation/Review,2023-01-20 01:09:23 UTC,2023-01-23 13:02:41 UTC,3,7228.5
0061T000015JQ1BQAW,FxCx 6th Fl BTU Meters B&L Block 5B Somerville,6 Won,2023-01-23 13:02:41 UTC,2023-01-23 00:00:00 UTC,0,7228.5
